word,freq_cat,freq_dog,freq_combined
dark,1,0,1
record,2,1,3
delivery,1,0,1
45,1,0,1
jack,0,1,1
north,1,0,1
wolves,0,3,3
bernard,0,1,1
sheep,0,1,1
invented,0,1,1
pawprint,0,1,1
price,1,0,1
us,1,2,3
maine,2,0,2
detect,0,5,5
smaller,0,1,1
go,3,1,4
devoted,0,1,1
night,2,0,2
10,4,1,5
varies,1,0,1
stuttered,0,1,1
whiskers,1,0,1
female,3,2,5
seeing,0,3,3
sorcery,1,0,1
phone,0,1,1
300000,2,0,2
english,0,1,1
fossil,1,0,1
nicky,1,0,1
felix,1,0,1
lucky,1,1,2
issue,0,1,1
leads,0,1,1
beats,2,1,3
33,0,1,1
gray,0,1,1
grey,0,1,1
service,0,1,1
kittens,9,0,9
alice,1,0,1
may,1,1,2
indicate,2,1,3
even,1,1,2
signal,1,0,1
tufts,1,0,1
65,2,0,2
vital,0,1,1
206,1,0,1
records,1,0,1
jaguar,1,0,1
american,1,4,5
regularly,1,0,1
boy,0,1,1
woman’s,1,0,1
women,1,0,1
stroked,1,0,1
according,1,2,3
loved,1,0,1
“psitraveling”,1,0,1
thought,1,0,1
1967,1,0,1
romagnolo,0,1,1
less,1,0,1
away,0,2,2
bodies,1,2,3
154000,1,0,1
tigers,1,0,1
gain,0,1,1
13,0,1,1
honking,0,1,1
talk,1,2,3
believed,0,1,1
40,0,1,1
breeding,0,1,1
uk,1,0,1
felicette,1,0,1
eyesight,1,1,2
curl,0,1,1
starred,1,0,1
changes,0,3,3
lubricated,0,1,1
beside,0,1,1
whether,1,0,1
learn,1,0,1
lacks,1,0,1
times,4,3,7
reportedly,1,0,1
2015,0,1,1
square,2,1,3
often,1,1,2
mind,1,0,1
sideways,1,0,1
emperors,0,1,1
animals’,1,0,1
life,4,1,5
dogs’,0,1,1
5000,0,1,1
tombs,1,0,1
land,1,0,1
sharp,0,1,1
stormy,0,1,1
old,4,2,6
magnetic,0,1,1
suggests,0,1,1
incident,0,1,1
cheshire,1,0,1
mice,2,0,2
chariot,1,0,1
tuna,1,0,1
creature,0,2,2
felines,1,0,1
view,1,0,1
text,0,1,1
nutrient,1,0,1
italian,1,0,1
resident,1,0,1
club,0,4,4
expose,1,0,1
cattle,0,1,1
travelers,0,1,1
egyptian,1,0,1
72,0,1,1
tools,1,0,1
3,2,2,4
lasts,0,1,1
heads,1,1,2
birthday,1,0,1
hind,1,0,1
hybrid,1,0,1
conserve,0,1,1
voices,1,0,1
one,7,4,11
sar,0,1,1
islands,0,2,2
busy,0,1,1
boop,0,1,1
earth,1,0,1
flyball,0,1,1
ts,1,0,1
sneeze,1,0,1
religious,0,1,1
energetic,0,1,1
smell,0,7,7
section,0,1,1
2,3,0,3
“clowder”,1,0,1
number,1,0,1
names,0,3,3
mostly,2,0,2
companion,1,0,1
owner,2,0,2
greater,0,1,1
men,1,0,1
neurons,1,0,1
signals,1,0,1
cats,64,1,65
line,0,1,1
sees,1,0,1
£15,1,0,1
texas,1,0,1
spots,0,2,2
depicted,0,1,1
pregnancy,0,1,1
supersonic,1,0,1
claws,2,0,2
mating,2,0,2
inches,2,1,3
light,3,0,3
feline,2,0,2
miniature,0,1,1
bible,1,0,1
leap,1,0,1
ben,1,0,1
survived,2,1,3
siamese,2,0,2
barbs,1,0,1
reflex”,1,0,1
gently,1,0,1
hours,1,0,1
meows,1,0,1
think,1,0,1
stripped,1,0,1
n,1,0,1
woods,0,1,1
used,1,3,4
cartoon,2,0,2
eyes,4,2,6
sensitive,0,1,1
hand,1,0,1
finger,0,1,1
feces,1,0,1
perhaps,1,0,1
destroyer,0,2,2
problems,0,1,1
exclusively,1,0,1
weight,0,1,1
undergo,0,1,1
60,1,1,2
jumpers,1,0,1
litter,1,0,1
languages,0,1,1
disorders,0,1,1
tolerate,2,0,2
pet,3,1,4
render,1,0,1
stray,0,1,1
way,3,2,5
1963,1,0,1
roosevelt,0,2,2
smelling,0,1,1
parental,0,1,1
richest,1,0,1
offer,0,1,1
mummies,2,0,2
legs,4,0,4
pairs,2,0,2
furnishings”,1,0,1
citrus,1,0,1
consisting,0,1,1
mysterious,1,0,1
relaxed,0,2,2
nesbit,0,1,1
titled,0,1,1
side,2,1,3
traits,1,0,1
25,2,0,2
cannot,1,3,4
sent,1,1,2
sure,1,0,1
cracker,0,1,1
practical,1,0,1
measuring,0,2,2
developed,0,1,1
pain,3,0,3
make,2,2,4
temporary,1,0,1
mexico,0,1,1
rin,0,2,2
saint,0,3,3
try,0,1,1
heart,1,1,2
answering,0,1,1
tournament,0,1,1
avesta,0,1,1
“puss,1,0,1
hold,1,0,1
1987,1,0,1
9,2,0,2
eye,2,3,5
relative,1,0,1
fertilizer,1,0,1
musical,1,0,1
extends,1,0,1
king,1,0,1
bloodhound,0,2,2
7,3,0,3
look,0,1,1
cans,1,0,1
owned,0,2,2
front,1,0,1
caffeine,0,1,1
helps,1,1,2
ligament,0,2,2
703,0,1,1
purr,2,0,2
religion,0,1,1
coon,3,0,3
mummified,1,0,1
mugford,0,1,1
body,4,2,6
amount,1,0,1
toothless,0,1,1
outer,1,0,1
home,1,1,2
eyelids,0,2,2
bast,1,0,1
per,4,2,6
literally,0,1,1
pace,0,1,1
muscular,1,0,1
hebrew,1,0,1
attracted,0,1,1
pitch,1,0,1
droplets,0,1,1
sounds,2,1,3
6,4,0,4
united,1,1,2
prides,1,0,1
persian,1,0,1
bingo,0,1,1
sense,0,6,6
died,0,1,1
hair,1,1,2
prefer,1,0,1
overtook,1,0,1
check,0,1,1
three,3,3,6
weber,1,0,1
blood,0,1,1
electrodes,1,0,1
terrified,1,0,1
12000,0,1,1
admit,0,1,1
birth,0,1,1
15000,0,1,1
weighs,1,0,1
approximately,2,2,4
newest,0,1,1
protected,0,1,1
walking,1,0,1
sport,0,2,2
libenstein,0,1,1
helpless,0,1,1
live,2,2,4
possible,2,0,2
113,1,0,1
claimed,0,1,1
mentioned,1,0,1
aloud,0,1,1
milk,1,0,1
games,0,1,1
version,1,0,1
blind,0,3,3
comic,1,0,1
myth,0,1,1
alone,1,0,1
upon,1,0,1
cisky,0,1,1
malamute,0,1,1
angle,1,0,1
mouth,0,1,1
mood,0,1,1
185,1,0,1
asleep,2,1,3
80,0,1,1
begin,2,0,2
tail,5,1,6
run,2,0,2
don’t,2,0,2
sunlight,1,0,1
badges,0,1,1
get,0,4,4
1,1,0,1
belly,1,0,1
back,3,1,4
inch,2,0,2
stripes,1,0,1
fight,1,0,1
period,0,1,1
regulate,0,1,1
name,1,3,4
walk,3,0,3
greek,1,0,1
bed,0,1,1
around,2,1,3
senility,1,0,1
person,0,1,1
substance,0,1,1
bring,0,1,1
scottish,0,1,1
stronger,0,1,1
“ear,1,0,1
due,2,0,2
flo,0,1,1
tremble,1,0,1
span,1,0,1
1022,0,1,1
personality,1,0,1
loudly,2,0,2
defense,0,1,1
berger,0,1,1
laws,0,1,1
shape,0,1,1
dvds,0,1,1
minor,0,1,1
proper,1,0,1
much,2,1,3
hidden,0,1,1
16,2,0,2
shoulder,0,1,1
baks,0,1,1
101,1,0,1
required,1,0,1
lifetime,1,0,1
meters,1,1,2
means,1,0,1
sleeve,0,1,1
movie,0,1,1
followed,1,0,1
absorb,1,0,1
eyebrows,0,1,1
head,4,1,5
favorite,1,0,1
clean,0,2,2
people,2,1,3
underside,1,0,1
scouts,0,2,2
poll,0,1,1
wet,0,2,2
mountain,1,0,1
boot”,1,0,1
half,1,1,2
large,2,2,4
panting,0,1,1
teeth,6,2,8
dogs,5,52,57
dalmatians,0,1,1
sign,2,0,2
card,0,1,1
god,2,0,2
toes,1,0,1
weather,0,1,1
smallest,3,0,3
wonderland,1,0,1
max,0,1,1
baby,1,0,1
china,0,1,1
compasses,1,0,1
take,1,2,3
press,0,1,1
jaguars,2,0,2
includes,0,1,1
twoyearold,0,1,1
26,1,0,1
terriers,0,1,1
pee,0,1,1
insulate,1,0,1
christian,0,1,1
1871,2,0,2
keen,0,1,1
owners,0,5,5
106,0,1,1
rubs,1,0,1
president,0,1,1
collie,0,3,3
longer,1,2,3
chaser,0,1,1
umbrella,0,1,1
give,1,0,1
double,2,0,2
godmother,1,0,1
london,1,0,1
intelligent,0,1,1
business,0,3,3
lid,0,1,1
really,0,1,1
beagle,0,1,1
ears,1,2,3
extinct,0,1,1
habitation,0,1,1
degrees,3,1,4
shiver,1,0,1
appear,1,2,3
they’re,0,1,1
behind,0,1,1
scoops,1,0,1
man’s,0,1,1
associated,1,0,1
boxer,0,1,1
implanted,1,0,1
domesticated,1,1,2
countess,0,1,1
tell,1,1,2
suffer,1,0,1
anorexia,1,0,1
fala,0,1,1
vertically,1,0,1
colors,0,2,2
usually,2,1,3
hounds,0,1,1
famous,1,2,3
whenever,1,0,1
rescue,0,1,1
mammal,1,0,1
meaning,1,0,1
well,2,1,3
founded,0,1,1
native,1,0,1
eighteen,0,1,1
treat,1,0,1
city,1,2,3
wider,1,0,1
radar,1,0,1
although,0,1,1
act,2,0,2
made,2,0,2
chemicals,0,1,1
see,3,3,6
highest,0,1,1
aleutian,0,2,2
claims,0,1,1
buttons,0,2,2
alert,1,0,1
haw,0,1,1
main,1,0,1
tiger,0,1,1
pointed,0,1,1
buried,0,1,1
“astrocat”,1,0,1
grow,0,1,1
responds,1,0,1
greenishyellow,0,1,1
wildcat,1,0,1
alc,1,0,1
assistance,0,1,1
vision,2,0,2
toolong,0,1,1
cancers,0,1,1
find,2,2,4
golden,0,1,1
hundreds,0,1,1
ever,1,1,2
90,1,0,1
fingerprints,1,0,1
group,2,0,2
230,1,0,1
oldest,1,0,1
family,1,0,1
messages,0,1,1
recessive,1,0,1
confrontation,1,0,1
dusty,1,0,1
says,1,0,1
subway,0,1,1
became,0,1,1
blades,0,1,1
hunting,1,0,1
australia,1,0,1
sets,1,0,1
overheated,0,1,1
theobromine,0,1,1
saliva,1,0,1
pads,0,1,1
left,4,2,6
breed,1,3,4
anywhere,1,0,1
acne,1,0,1
pets,1,1,2
rode,1,0,1
–,0,2,2
certain,0,1,1
everywhere,0,1,1
collect,0,1,1
step,1,0,1
fifteen,0,1,1
shaved,0,1,1
40000,0,1,1
fairy,1,0,1
days,5,4,9
1919,1,0,1
zoroastrianism,0,1,1
gauge,1,0,1
grinning,0,1,1
96,1,0,1
gunther,0,1,1
emotional,0,1,1
prayed,1,0,1
feral,1,0,1
typically,1,1,2
dsh,2,0,2
120000,1,0,1
shades,0,3,3
sweat,2,2,4
molly,0,1,1
eurasia,0,1,1
kill,0,1,1
farmers,1,0,1
occurs,1,0,1
years,4,4,8
official,1,0,1
shepherd,0,1,1
1888,1,0,1
cute,0,1,1
palace,2,0,2
luck,1,0,1
persons,0,1,1
lose,1,0,1
moscow,0,1,1
puppies’,0,1,1
paws,2,1,3
rest,2,1,3
sleeping,1,0,1
tiny,1,1,2
harness,0,1,1
worshipped,1,0,1
equivalent,1,0,1
frequently,1,0,1
groups,1,0,1
grown,1,0,1
pounce,1,0,1
chickens,0,1,1
wow,0,1,1
pests,0,1,1
animal,2,0,2
chunks,1,0,1
placed,1,0,1
baking,1,0,1
least,0,2,2
fell,0,1,1
possibly,0,1,1
allergic,3,0,3
picard,0,1,1
premolars,1,0,1
hairs,1,0,1
acceptance,1,0,1
following,0,1,1
sardines,1,0,1
signed,0,1,1
goats,0,1,1
15,1,0,1
duty,0,1,1
trip,1,0,1
spent,1,1,2
crockett,0,1,1
evidence,1,0,1
basset,0,1,1
child,0,2,2
balance,1,0,1
newfoundland,0,1,1
neurological,1,0,1
posture,1,0,1
popped,1,0,1
pushes,1,0,1
humans,7,4,11
six,1,0,1
airline,0,1,1
simple,0,1,1
avoid,1,0,1
sinking,0,1,1
retract,1,0,1
protecting,1,0,1
retrieving,0,1,1
sometimes,1,2,3
sensors,1,0,1
bites,0,1,1
fahrenheit,1,0,1
pekingese,0,2,2
wolflike,0,1,1
cloned,1,0,1
historically,1,0,1
powerful,0,2,2
cells,2,0,2
regulators,1,0,1
tin,0,4,4
become,0,1,1
peripheral,1,0,1
reports,0,1,1
deaf,1,2,3
weigh,3,0,3
learned,0,2,2
ark,1,0,1
